
;;; DAFTAR STOK BARANG; ; ; ; ;
;;; PER TANGGAL: 19-02-22; ; ; ; ;
NO.;KODE;BARCODE; NAMA BARANG;STOK;SATUAN;@HG.POKOK;@HG.JUAL;@HG.JUAL2;@HG.JUAL3;BTS3;@HG.JUAL4;BTS4;@HG.JUAL5;BTS5;JML_POKOK
91;'005921;'8999999556129; RINSO MOLTO 20ML 6+1SCT; -1;PCS;2310;2500;2500;0;0;0;0;0;0;-2310
92;'006917;'006917; ROKOK PRAOE LAYAR; -2;PCS;4900;5100;5500;0;0;0;0;0;0;-9800
93;'000985;'8996001301562; ROMA MALKISR CKLT KELAPA 10SCT; -1;PCS;7841;8500;8500;0;0;0;0;0;0;-7841
94;'004669;'8420701102322; RS MINYAK ZAITUN 90ML; -1;PCS;23000;25000;25000;0;0;0;0;0;0;-23000
95;'006744;'8990011998880; SABUN TAWON; -3;PCS;7000;7500;8000;0;0;0;0;0;0;-21000
96;'003067;'8992770061010; SAJIKU TPG SERBAGUNA 80G; -10;PCS;2000;2250;2500;0;0;0;0;0;0;-20000
97;'006752;'8992870410206; SALONPAS; -1;PCS;6400;7000;7000;0;0;0;0;0;0;-6400
98;'006918;'8999909000988; SAMPOERNA KRETEK 10+2; -2;SLOP;12650;12700;126000;0;0;0;0;0;0;-25300
99;'006919;'8999909085114; SAMPOERNA KRETEK 12; -12;PCS;12500;12800;13500;12600;10;0;0;0;0;-150000
100;'006922;'8999909096004; SAMPOERNA MILD 16; -2;SLP;24050;24400;242000;0;0;0;0;0;0;-48100
101;'003623;'8993496001083; SANIA 1L; -7;PCS;18450;19250;19500;0;0;0;0;0;0;-129150
102;'003078;'8991188943369; SASA 130G 5000; -3;PCS;4320;4650;5000;0;0;0;0;0;0;-12960
103;'006928;'8991918101045; SCORPION 20; -6;PCS;18000;18300;19000;0;0;0;0;0;0;-108000
104;'003640;'8998866200813; SEDAP CUP GORENG; -19;PCS;4014;4500;4500;0;0;0;0;0;0;-76266
105;'003642;'8998866200837; SEDAP CUP SOTO; -19;PCS;3792;4250;4250;0;0;0;0;0;0;-72048
106;'003649;'8998866200301; SEDAP MIE GORENG; -5;PCS;2448;2650;2750;0;0;0;0;0;0;-12240
107;'003650;'8998866200325; SEDAP MIE SOTO; -5;PCS;2312;2500;2600;0;0;0;0;0;0;-11560
108;'009276;'8998898853100; SIDO SUSU JAHE 10SCT; -7;PCS;11500;12000;12000;0;0;0;0;0;0;-80500
109;'005980;'005980; SOKLIN LIQUID 24ML 24SCT; -2;PCS;9120;10000;10000;0;0;0;0;0;0;-18240
110;'008519;'008519; SPON MANDI GOOD WIFE 2WARNA; -1;PCS;2209;3500;3500;0;0;0;0;0;0;-2209
111;'006931;'8998989520126; SRIWEDARI 12; -1;PCS;10800;11100;11500;0;0;0;0;0;0;-10800
112;'006058;'8999999406943; SUPERPELL LEMON 770ML; -1;PCS;11660;12500;12500;0;0;0;0;0;0;-11660
113;'007226;'8992959953266; SWEETY BRONZE S2; -1;PCS;2327;2700;2700;0;0;0;0;0;0;-2327
114;'007241;'8992959508305; SWEETY SILVER L1; -3;PCS;1947;2250;2250;0;0;0;0;0;0;-5841
